"","surp","y_lower","y_upper","y","delta","lang","model","linear"
"7410",17.3,48.2720402810808,54.9309236736167,51.4008201647993,23.7734202684011,"ge","monot_all","non-linear"
"7411",17.4,48.6987463535665,55.4063826213973,51.8268702717547,23.7734202684011,"ge","monot_all","non-linear"
"7412",17.5,49.1299403354552,55.8855288874006,52.2565155768485,23.7734202684011,"ge","monot_all","non-linear"
"7413",17.6,49.5656049607491,56.3683482856833,52.689742248544,23.7734202684011,"ge","monot_all","non-linear"
"7414",17.7,50.0057229634499,56.8548266303018,53.1265364553045,23.7734202684011,"ge","monot_all","non-linear"
"7415",17.8,50.4371678106336,57.3449497353127,53.5668843655932,23.7734202684011,"ge","monot_all","non-linear"
"7416",17.9,50.820697505681,57.8387034147726,54.0107721478733,23.7734202684011,"ge","monot_all","non-linear"
"7417",18,51.1872985215333,58.3360734827378,54.458185970608,23.7734202684011,"ge","monot_all","non-linear"
"7418",18.1,51.5565308442516,58.837045753265,54.9091120022607,23.7734202684011,"ge","monot_all","non-linear"
"7419",18.2,51.9269813470422,59.3416060404107,55.3635364112945,23.7734202684011,"ge","monot_all","non-linear"
"7420",18.3,52.2855351626618,59.8497401582315,55.8214453661727,23.7734202684011,"ge","monot_all","non-linear"
"7421",18.4,52.6465612701735,60.3614339207837,56.2828250353585,23.7734202684011,"ge","monot_all","non-linear"
"7422",18.5,53.0100498169668,60.8766731421241,56.7476615873151,23.7734202684011,"ge","monot_all","non-linear"
"7423",18.6,53.3759909504313,61.3954436363091,57.2159411905058,23.7734202684011,"ge","monot_all","non-linear"
"7424",18.7,53.7443748179564,61.9177312173952,57.6876500133938,23.7734202684011,"ge","monot_all","non-linear"
"7425",18.8,54.1151915669316,62.443521699439,58.1627742244424,23.7734202684011,"ge","monot_all","non-linear"
"7426",18.9,54.4884313447465,62.972800896497,58.6412999921148,23.7734202684011,"ge","monot_all","non-linear"
"7427",19,54.8640842987905,63.5055546226257,59.1232134848741,23.7734202684011,"ge","monot_all","non-linear"
"7428",19.1,55.2421405764532,64.0417686918816,59.6085008711838,23.7734202684011,"ge","monot_all","non-linear"
"7429",19.2,55.6225903251241,64.5814289183214,60.0971483195069,23.7734202684011,"ge","monot_all","non-linear"
"7430",19.3,56.0054236921926,65.1245211160014,60.5891419983067,23.7734202684011,"ge","monot_all","non-linear"
"7431",19.4,56.3906308250484,65.6710310989783,61.0844680760466,23.7734202684011,"ge","monot_all","non-linear"
"7432",19.5,56.7782018710809,66.2209446813085,61.5831127211896,23.7734202684011,"ge","monot_all","non-linear"
"7433",19.6,57.1681269776796,66.7742476770487,62.0850621021991,23.7734202684011,"ge","monot_all","non-linear"
"7434",19.7,57.560396292234,67.3309259002553,62.5903023875382,23.7734202684011,"ge","monot_all","non-linear"
"7435",19.8,57.9549999621337,67.8909651649848,63.0988197456702,23.7734202684011,"ge","monot_all","non-linear"
"7436",19.9,58.3519281347681,68.4543512852939,63.6106003450584,23.7734202684011,"ge","monot_all","non-linear"
"7437",20,58.7511709575267,69.0210700752389,64.125630354166,23.7734202684011,"ge","monot_all","non-linear"
"7438",0,-3.23218721746591,2.00678571565947,0,19.1872105781559,"gr","monot_all","non-linear"
"7439",0.1,-2.87584360209419,2.35526161278624,0.312518526652543,19.1872105781559,"gr","monot_all","non-linear"
"7440",0.2,-2.51961184711131,2.70353671969162,0.624961961867303,19.1872105781559,"gr","monot_all","non-linear"
"7441",0.3,-2.16360381290614,3.0514102461542,0.937255214206523,19.1872105781559,"gr","monot_all","non-linear"
"7442",0.4,-1.80793135986752,3.39868140195261,1.24932319223242,19.1872105781559,"gr","monot_all","non-linear"
"7443",0.5,-1.45270634838431,3.74514939686543,1.56109080450722,19.1872105781559,"gr","monot_all","non-linear"
"7444",0.6,-1.09804063884535,4.09061344067129,1.87248295959315,19.1872105781559,"gr","monot_all","non-linear"
"7445",0.7,-0.744046091639515,4.43487274314877,2.18342456605244,19.1872105781559,"gr","monot_all","non-linear"
"7446",0.8,-0.390834567155633,4.77772651407649,2.49384053244731,19.1872105781559,"gr","monot_all","non-linear"
"7447",0.9,-0.0385179257825676,5.11897396323306,2.80365576734,19.1872105781559,"gr","monot_all","non-linear"
"7448",1,0.312791972090835,5.45841430039708,3.11279517929272,19.1872105781559,"gr","monot_all","non-linear"
"7449",1.1,0.66298326607572,5.79584673534715,3.4211836768677,19.1872105781559,"gr","monot_all","non-linear"
"7450",1.2,1.01194409578324,6.13107047786188,3.72874616862718,19.1872105781559,"gr","monot_all","non-linear"
"7451",1.3,1.35956260082453,6.46388473771988,4.03540756313336,19.1872105781559,"gr","monot_all","non-linear"
"7452",1.4,1.70572692081076,6.79408872469975,4.34109276894849,19.1872105781559,"gr","monot_all","non-linear"
"7453",1.5,2.05032519535306,7.1214816485801,4.64572669463479,19.1872105781559,"gr","monot_all","non-linear"
"7454",1.6,2.39324556406259,7.44586271913952,4.94923424875448,19.1872105781559,"gr","monot_all","non-linear"
"7455",1.7,2.73438988696162,7.76700671317442,5.25153861165121,19.1872105781559,"gr","monot_all","non-linear"
"7456",1.8,3.06793427592554,8.08436046978909,5.55253976764585,19.1872105781559,"gr","monot_all","non-linear"
"7457",1.9,3.39628676336572,8.41508805461963,5.8521211157673,19.1872105781559,"gr","monot_all","non-linear"
"7458",2,3.7233861405587,8.73983537828479,6.15016569579128,19.1872105781559,"gr","monot_all","non-linear"
"7459",2.1,4.04622368029642,9.05675212844675,6.44655654749349,19.1872105781559,"gr","monot_all","non-linear"
"7460",2.2,4.36699743342465,9.36493891789485,6.74117671064963,19.1872105781559,"gr","monot_all","non-linear"
"7461",2.3,4.68720068967655,9.6634963594184,7.0339092250354,19.1872105781559,"gr","monot_all","non-linear"
"7462",2.4,5.00706517869735,9.95152506580676,7.3246371304265,19.1872105781559,"gr","monot_all","non-linear"
"7463",2.5,5.32682263013229,10.2281256498493,7.61324346659864,19.1872105781559,"gr","monot_all","non-linear"
"7464",2.6,5.64670477362659,10.4923987243352,7.89961127332753,19.1872105781559,"gr","monot_all","non-linear"
"7465",2.7,5.96694333882548,10.743444902054,8.18362359038885,19.1872105781559,"gr","monot_all","non-linear"
"7466",2.8,6.28777005537419,10.9803647957949,8.46516345755832,19.1872105781559,"gr","monot_all","non-linear"
"7467",2.9,6.60941665291795,11.2022590183473,8.74411391461163,19.1872105781559,"gr","monot_all","non-linear"
"7468",3,6.93211486110198,11.4082281825005,9.0203580013245,19.1872105781559,"gr","monot_all","non-linear"
"7469",3.1,7.25609640957152,11.5973729010439,9.29377875747262,19.1872105781559,"gr","monot_all","non-linear"
"7470",3.2,7.5815930279718,11.7687937867667,9.5642592228317,19.1872105781559,"gr","monot_all","non-linear"
"7471",3.3,7.90882962585296,11.9216228514451,9.83168740010223,19.1872105781559,"gr","monot_all","non-linear"
"7472",3.4,8.23778326519642,12.0561331704957,10.0961316485389,19.1872105781559,"gr","monot_all","non-linear"
"7473",3.5,8.56811870180517,12.174035643506,10.3578875899292,19.1872105781559,"gr","monot_all","non-linear"
"7474",3.6,8.89948076331664,12.2771329172016,10.6172653476159,19.1872105781559,"gr","monot_all","non-linear"
"7475",3.7,9.23151427736829,12.3735678170058,10.8745750449418,19.1872105781559,"gr","monot_all","non-linear"
"7476",3.8,9.56386407159757,12.5153459086393,11.1301268052499,19.1872105781559,"gr","monot_all","non-linear"
"7477",3.9,9.89617497364192,12.7544495898339,11.384230751883,19.1872105781559,"gr","monot_all","non-linear"
"7478",4,10.2280918111388,13.0073513545595,11.6371970081841,19.1872105781559,"gr","monot_all","non-linear"
"7479",4.1,10.5468951496146,13.2596759705991,11.8893356974958,19.1872105781559,"gr","monot_all","non-linear"
"7480",4.2,10.8444032181312,13.5117357158074,12.1409569431612,19.1872105781559,"gr","monot_all","non-linear"
"7481",4.3,11.1427454868693,13.7887140951237,12.3923708685231,19.1872105781559,"gr","monot_all","non-linear"
"7482",4.4,11.4419019407413,14.0710198898162,12.6438875969243,19.1872105781559,"gr","monot_all","non-linear"
"7483",4.5,11.7418525646596,14.3536194134492,12.8958172517077,19.1872105781559,"gr","monot_all","non-linear"
"7484",4.6,12.0425773435367,14.6365299693122,13.1484699562162,19.1872105781559,"gr","monot_all","non-linear"
"7485",4.7,12.3440562622849,14.9197688606945,13.4021558337927,19.1872105781559,"gr","monot_all","non-linear"
"7486",4.8,12.6084960028004,15.2033533908854,13.65718500778,19.1872105781559,"gr","monot_all","non-linear"
"7487",4.9,12.7988098321065,15.4873008631744,13.9138676015209,19.1872105781559,"gr","monot_all","non-linear"
"7488",5,12.9102569470445,15.7716285808507,14.1725137383585,19.1872105781559,"gr","monot_all","non-linear"
"7489",5.1,13.0323862883642,16.0563538472038,14.4334335416354,19.1872105781559,"gr","monot_all","non-linear"
"7490",5.2,13.1667313394411,16.341493965523,14.6969371346946,19.1872105781559,"gr","monot_all","non-linear"
"7491",5.3,13.3148087990139,16.6270661271903,14.9633314061956,19.1872105781559,"gr","monot_all","non-linear"
"7492",5.4,13.4773528511655,16.9130823063632,15.2327724409836,19.1872105781559,"gr","monot_all","non-linear"
"7493",5.5,13.6539988183848,17.1995471508095,15.5052045546825,19.1872105781559,"gr","monot_all","non-linear"
"7494",5.6,13.8442996739944,17.4864647592538,15.7805561928382,19.1872105781559,"gr","monot_all","non-linear"
"7495",5.7,14.0478083913171,17.7738392304212,16.0587558009968,19.1872105781559,"gr","monot_all","non-linear"
"7496",5.8,14.2640779436755,18.0616746630363,16.3397318247044,19.1872105781559,"gr","monot_all","non-linear"
"7497",5.9,14.4922051969594,18.3528778252096,16.6234127095071,19.1872105781559,"gr","monot_all","non-linear"
"7498",6,14.7137090752574,18.6525658001407,16.909726900951,19.1872105781559,"gr","monot_all","non-linear"
"7499",6.1,14.9449733633522,18.9527556498221,17.1986028445821,19.1872105781559,"gr","monot_all","non-linear"
"7500",6.2,15.1856509509829,19.2534509729935,17.4899689859464,19.1872105781559,"gr","monot_all","non-linear"
"7501",6.3,15.4353947278887,19.554655368395,17.7837537705901,19.1872105781559,"gr","monot_all","non-linear"
"7502",6.4,15.6938575838089,19.8563724347663,18.0798856440593,19.1872105781559,"gr","monot_all","non-linear"
"7503",6.5,15.9606924084825,20.1586057708474,18.3782930518999,19.1872105781559,"gr","monot_all","non-linear"
"7504",6.6,16.2355520916488,20.461358975378,18.6789044396581,19.1872105781559,"gr","monot_all","non-linear"
"7505",6.7,16.5180895230469,20.7646356470982,18.9816482528799,19.1872105781559,"gr","monot_all","non-linear"
"7506",6.8,16.8079575924161,21.0684393847476,19.2864529371114,19.1872105781559,"gr","monot_all","non-linear"
"7507",6.9,17.1048091894954,21.3727737870663,19.5932469378987,19.1872105781559,"gr","monot_all","non-linear"
"7508",7,17.4082972040241,21.6776424527941,19.9019587007878,19.1872105781559,"gr","monot_all","non-linear"
"7509",7.1,17.7180745257413,21.9830489806708,20.2125166713249,19.1872105781559,"gr","monot_all","non-linear"
"7510",7.2,18.0337940443863,22.3034007590579,20.5248492950559,19.1872105781559,"gr","monot_all","non-linear"
"7511",7.3,18.3551086496981,22.6337089975291,20.8388850175269,19.1872105781559,"gr","monot_all","non-linear"
"7512",7.4,18.681671231416,22.9643729242642,21.1545522842841,19.1872105781559,"gr","monot_all","non-linear"
"7513",7.5,19.0131346792792,23.2953958705219,21.4717795408734,19.1872105781559,"gr","monot_all","non-linear"
"7514",7.6,19.3491518830267,23.6267811675611,21.790495232841,19.1872105781559,"gr","monot_all","non-linear"
"7515",7.7,19.6893757323979,23.9585321466405,22.110627805733,19.1872105781559,"gr","monot_all","non-linear"
"7516",7.8,20.0334591171319,24.2906521390188,22.4321057050953,19.1872105781559,"gr","monot_all","non-linear"
"7517",7.9,20.3810549269678,24.6231444759549,22.7548573764741,19.1872105781559,"gr","monot_all","non-linear"
"7518",8,20.6664140539084,24.9560124887074,23.0788112654154,19.1872105781559,"gr","monot_all","non-linear"
"7519",8.1,20.926215623902,25.2892595085353,23.4038958174653,19.1872105781559,"gr","monot_all","non-linear"
"7520",8.2,21.1888428084786,25.6228888666972,23.7300394781699,19.1872105781559,"gr","monot_all","non-linear"
"7521",8.3,21.4544600218628,25.956903894452,24.0571706930753,19.1872105781559,"gr","monot_all","non-linear"
"7522",8.4,21.7232316782789,26.2959144498318,24.3852179077274,19.1872105781559,"gr","monot_all","non-linear"
"7523",8.5,21.9953221919513,26.6545870222106,24.7141095676724,19.1872105781559,"gr","monot_all","non-linear"
"7524",8.6,22.2708859956255,27.0132277506064,25.0437780516106,19.1872105781559,"gr","monot_all","non-linear"
"7525",8.7,22.5499740122181,27.3718024739931,25.3741965257963,19.1872105781559,"gr","monot_all","non-linear"
"7526",8.8,22.8325758872044,27.7303109595516,25.7053623025675,19.1872105781559,"gr","monot_all","non-linear"
"7527",8.9,23.1186804657955,28.0887534175547,26.0372730096024,19.1872105781559,"gr","monot_all","non-linear"
"7528",9,23.4082765932022,28.4471300582753,26.3699262745791,19.1872105781559,"gr","monot_all","non-linear"
"7529",9.1,23.7013531146354,28.8054410919862,26.703319725176,19.1872105781559,"gr","monot_all","non-linear"
"7530",9.2,23.997898875306,29.1636867289602,27.0374509890712,19.1872105781559,"gr","monot_all","non-linear"
"7531",9.3,24.2963844287315,29.544908819472,27.3723176939431,19.1872105781559,"gr","monot_all","non-linear"
"7532",9.4,24.5754910606415,29.931669375229,27.7079174674698,19.1872105781559,"gr","monot_all","non-linear"
"7533",9.5,24.8580481380965,30.3174547197587,28.0442479373296,19.1872105781559,"gr","monot_all","non-linear"
"7534",9.6,25.1440444586768,30.7022680192392,28.3813067312007,19.1872105781559,"gr","monot_all","non-linear"
"7535",9.7,25.4334688199626,31.0861124398489,28.7190914767614,19.1872105781559,"gr","monot_all","non-linear"
"7536",9.8,25.7263100195341,31.4689911477659,29.0575998016899,19.1872105781559,"gr","monot_all","non-linear"
"7537",9.9,26.0225568549717,31.8509073091684,29.3968293336644,19.1872105781559,"gr","monot_all","non-linear"
"7538",10,26.3221981238553,32.2318640902347,29.7367777003632,19.1872105781559,"gr","monot_all","non-linear"
"7539",10.1,26.6252226237654,32.6118646571431,30.0774425294645,19.1872105781559,"gr","monot_all","non-linear"
"7540",10.2,26.9316191522822,32.9909121760716,30.4188214486466,19.1872105781559,"gr","monot_all","non-linear"
"7541",10.3,27.2413765069857,33.3690098131985,30.7609120855877,19.1872105781559,"gr","monot_all","non-linear"
"7542",10.4,27.5544834854564,33.7461607347022,31.103712067966,19.1872105781559,"gr","monot_all","non-linear"
"7543",10.5,27.8709288852743,34.1223681067607,31.4472190234598,19.1872105781559,"gr","monot_all","non-linear"
"7544",10.6,28.1907015040198,34.4976350955523,31.7914305797473,19.1872105781559,"gr","monot_all","non-linear"
"7545",10.7,28.513790139273,34.8719648672552,32.1363443645067,19.1872105781559,"gr","monot_all","non-linear"
"7546",10.8,28.8401835886141,35.2453605880477,32.4819580054164,19.1872105781559,"gr","monot_all","non-linear"
"7547",10.9,29.1698706496235,35.6178254241079,32.8282691301545,19.1872105781559,"gr","monot_all","non-linear"
"7548",11,29.5028401198812,35.9893625416141,33.1752753663992,19.1872105781559,"gr","monot_all","non-linear"
"7549",11.1,29.8390807969676,36.3599751067446,33.5229743418288,19.1872105781559,"gr","monot_all","non-linear"
"7550",11.2,30.1785814784628,36.7296662856775,33.8713636841216,19.1872105781559,"gr","monot_all","non-linear"
"7551",11.3,30.5213309619471,37.098439244591,34.2204410209557,19.1872105781559,"gr","monot_all","non-linear"
"7552",11.4,30.8673180450007,37.4662971496634,34.5702039800095,19.1872105781559,"gr","monot_all","non-linear"
