"","surp","y_lower","y_upper","y","delta","lang","model","linear"
"6838",0.3,-0.0743759959869577,1.39083976718626,0.619637598693071,-1.52273884133331,"en","monot_all","linear"
"6839",0.4,0.116850264811138,1.6058654538781,0.826183464924094,-1.52273884133331,"en","monot_all","linear"
"6840",0.5,0.308076525609234,1.82089114056995,1.03272933115512,-1.52273884133331,"en","monot_all","linear"
"6841",0.6,0.499302786407331,2.0359168272618,1.23927519738614,-1.52273884133331,"en","monot_all","linear"
"6842",0.7,0.690529047205427,2.25094251395365,1.44582106361717,-1.52273884133331,"en","monot_all","linear"
"6843",0.8,0.881755308003522,2.4659682006455,1.65236692984819,-1.52273884133331,"en","monot_all","linear"
"6844",0.9,1.07298156880162,2.68099388733734,1.85891279607921,-1.52273884133331,"en","monot_all","linear"
"6845",1,1.26092032142313,2.89601957402919,2.06545866231024,-1.52273884133331,"en","monot_all","linear"
"6846",1.1,1.44278238743914,3.11104526072104,2.27200452854126,-1.52273884133331,"en","monot_all","linear"
"6847",1.2,1.62464445345516,3.32607094741289,2.47855039477228,-1.52273884133331,"en","monot_all","linear"
"6848",1.3,1.80650651947117,3.54109663410473,2.68509626100331,-1.52273884133331,"en","monot_all","linear"
"6849",1.4,1.98836858548718,3.75612232079658,2.89164212723433,-1.52273884133331,"en","monot_all","linear"
"6850",1.5,2.1702306515032,3.97379769351934,3.09818799346535,-1.52273884133331,"en","monot_all","linear"
"6851",1.6,2.35209271751921,4.19564844942202,3.30473385969638,-1.52273884133331,"en","monot_all","linear"
"6852",1.7,2.53395478353522,4.4174992053247,3.5112797259274,-1.52273884133331,"en","monot_all","linear"
"6853",1.8,2.71581684955124,4.63934996122738,3.71782559215842,-1.52273884133331,"en","monot_all","linear"
"6854",1.9,2.89767891556725,4.86120071713006,3.92437145838945,-1.52273884133331,"en","monot_all","linear"
"6855",2,3.07954098158326,5.08305147303274,4.13091732462047,-1.52273884133331,"en","monot_all","linear"
"6856",2.1,3.26140304759928,5.30490222893542,4.3374631908515,-1.52273884133331,"en","monot_all","linear"
"6857",2.2,3.44326511361529,5.52675298483811,4.54400905708252,-1.52273884133331,"en","monot_all","linear"
"6858",2.3,3.6251271796313,5.74860374074079,4.75055492331354,-1.52273884133331,"en","monot_all","linear"
"6859",2.4,3.80698924564732,5.97045449664347,4.95710078954457,-1.52273884133331,"en","monot_all","linear"
"6860",2.5,3.98885131166333,6.19230525254615,5.16364665577559,-1.52273884133331,"en","monot_all","linear"
"6861",2.6,4.17071337767934,6.42113495213461,5.37019252200661,-1.52273884133331,"en","monot_all","linear"
"6862",2.7,4.35257544369536,6.65529925066802,5.57673838823764,-1.52273884133331,"en","monot_all","linear"
