"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"1830",2,0.74837627592663,9.18439654330585,5.41598845431125,-7.08531308991549,"tr","short","linear"
"1831",2.1,0.984154206826988,9.41677636721174,5.68678787702681,-7.08531308991549,"tr","short","linear"
"1832",2.2,1.21993213772735,9.64915619111761,5.95758729974238,-7.08531308991549,"tr","short","linear"
"1833",2.3,1.4557100686277,9.88153601502349,6.22838672245794,-7.08531308991549,"tr","short","linear"
"1834",2.4,1.69148799952806,10.1139158389294,6.4991861451735,-7.08531308991549,"tr","short","linear"
"1835",2.5,1.92726593042842,10.3462956628352,6.76998556788907,-7.08531308991549,"tr","short","linear"
"1836",2.6,2.16304386132878,10.5786754867411,7.04078499060463,-7.08531308991549,"tr","short","linear"
"1837",2.7,2.39882179222913,10.811055310647,7.31158441332019,-7.08531308991549,"tr","short","linear"
"1838",2.8,2.63459972312949,11.0434351345529,7.58238383603575,-7.08531308991549,"tr","short","linear"
"1839",2.9,2.87037765402985,11.2758149584587,7.85318325875132,-7.08531308991549,"tr","short","linear"
"1840",3,3.1061555849302,11.5081947823646,8.12398268146688,-7.08531308991549,"tr","short","linear"
"1841",3.1,3.34193351583056,11.7405746062705,8.39478210418244,-7.08531308991549,"tr","short","linear"
"1842",3.2,3.57771144673092,11.9729544301764,8.665581526898,-7.08531308991549,"tr","short","linear"
"1843",3.3,3.81348937763127,12.2053342540823,8.93638094961356,-7.08531308991549,"tr","short","linear"
"1844",3.4,4.04926730853163,12.4377140779881,9.20718037232913,-7.08531308991549,"tr","short","linear"
"1845",3.5,4.28504523943199,12.670093901894,9.47797979504469,-7.08531308991549,"tr","short","linear"
"1846",3.6,4.52082317033234,12.9024737257999,9.74877921776025,-7.08531308991549,"tr","short","linear"
"1847",3.7,4.7566011012327,13.1348535497058,10.0195786404758,-7.08531308991549,"tr","short","linear"
"1848",3.8,4.99237903213306,13.3672333736116,10.2903780631914,-7.08531308991549,"tr","short","linear"
"1849",3.9,5.22815696303342,13.5996131975175,10.5611774859069,-7.08531308991549,"tr","short","linear"
"1850",4,5.46393489393377,13.8319930214234,10.8319769086225,-7.08531308991549,"tr","short","linear"
"1851",4.1,5.69971282483413,14.0643728453293,11.1027763313381,-7.08531308991549,"tr","short","linear"
"1852",4.2,5.93549075573449,14.2967526692351,11.3735757540536,-7.08531308991549,"tr","short","linear"
"1853",4.3,6.17126868663484,14.6225388023962,11.6443751767692,-7.08531308991549,"tr","short","linear"
"1854",4.4,6.4070466175352,14.9528579297509,11.9151745994848,-7.08531308991549,"tr","short","linear"
"1855",4.5,6.64282454843556,15.2831770571056,12.1859740222003,-7.08531308991549,"tr","short","linear"
"1856",4.6,6.87860247933591,15.6134961844603,12.4567734449159,-7.08531308991549,"tr","short","linear"
"1857",4.7,7.11438041023627,15.943815311815,12.7275728676314,-7.08531308991549,"tr","short","linear"
"1858",4.8,7.35015834113663,16.2741344391697,12.998372290347,-7.08531308991549,"tr","short","linear"
"1859",4.9,7.58593627203699,16.6044535665244,13.2691717130626,-7.08531308991549,"tr","short","linear"
"1860",5,7.82171420293734,16.9347726938791,13.5399711357781,-7.08531308991549,"tr","short","linear"
"1861",5.1,8.0574921338377,17.2650918212338,13.8107705584937,-7.08531308991549,"tr","short","linear"
"1862",5.2,8.29327006473806,17.5954109485885,14.0815699812093,-7.08531308991549,"tr","short","linear"
"1863",5.3,8.52904799563841,17.9257300759432,14.3523694039248,-7.08531308991549,"tr","short","linear"
"1864",5.4,8.76482592653877,18.2560492032979,14.6231688266404,-7.08531308991549,"tr","short","linear"
"1865",5.5,9.00060385743913,18.5863683306526,14.8939682493559,-7.08531308991549,"tr","short","linear"
"1866",5.6,9.23638178833949,18.9166874580073,15.1647676720715,-7.08531308991549,"tr","short","linear"
"1867",5.7,9.47215971923984,19.247006585362,15.4355670947871,-7.08531308991549,"tr","short","linear"
"1868",5.8,9.7079376501402,19.5773257127167,15.7063665175026,-7.08531308991549,"tr","short","linear"
