"","prev_surp","y_lower","y_upper","y","delta","lang","model","linear"
"856",5.1,-6.48418492362066,-1.89158437405469,-4.21312485739836,-0.421396275630759,"gr","mgpt_lc","non-linear"
"857",5.2,-6.38773603475091,-1.88435073764775,-4.10698827745489,-0.421396275630759,"gr","mgpt_lc","non-linear"
"858",5.3,-6.29083261465115,-1.86285254567217,-4.0029315980577,-0.421396275630759,"gr","mgpt_lc","non-linear"
"859",5.4,-6.1949496898096,-1.8390005273823,-3.90198208388602,-0.421396275630759,"gr","mgpt_lc","non-linear"
"860",5.5,-6.10012150656405,-1.81288473762503,-3.80409308099529,-0.421396275630759,"gr","mgpt_lc","non-linear"
"861",5.6,-6.00631704364378,-1.7845917721314,-3.7091692867278,-0.421396275630759,"gr","mgpt_lc","non-linear"
"862",5.7,-5.91350527977805,-1.75420822663246,-3.61711539842581,-0.421396275630759,"gr","mgpt_lc","non-linear"
"863",5.8,-5.82165519369614,-1.69845085302816,-3.52783611343159,-0.421396275630759,"gr","mgpt_lc","non-linear"
"864",5.9,-5.73073576412732,-1.63071728536099,-3.44123612908743,-0.421396275630759,"gr","mgpt_lc","non-linear"
"865",6,-5.64071596980086,-1.56469179446001,-3.35722014273559,-0.421396275630759,"gr","mgpt_lc","non-linear"
"866",6.1,-5.55156478944603,-1.50032528002102,-3.27569285171835,-0.421396275630759,"gr","mgpt_lc","non-linear"
"867",6.2,-5.4632512017921,-1.43756864173984,-3.19655895337797,-0.421396275630759,"gr","mgpt_lc","non-linear"
"868",6.3,-5.37574418556835,-1.37637277931226,-3.11972314505673,-0.421396275630759,"gr","mgpt_lc","non-linear"
"869",6.4,-5.28901271950405,-1.3166885924341,-3.0450901240969,-0.421396275630759,"gr","mgpt_lc","non-linear"
"870",6.5,-5.20302578232847,-1.25846698080114,-2.97256458784076,-0.421396275630759,"gr","mgpt_lc","non-linear"
"871",6.6,-5.11775235277087,-1.2016588441092,-2.90205123363057,-0.421396275630759,"gr","mgpt_lc","non-linear"
"872",6.7,-5.03316140956054,-1.14621508205408,-2.83345475880862,-0.421396275630759,"gr","mgpt_lc","non-linear"
"873",6.8,-4.94922193142674,-1.07069624315527,-2.76667986071716,-0.421396275630759,"gr","mgpt_lc","non-linear"
"874",6.9,-4.86590289709874,-0.998320634811472,-2.70163123669849,-0.421396275630759,"gr","mgpt_lc","non-linear"
"875",7,-4.78317328530583,-0.933252703450955,-2.63821358409485,-0.421396275630759,"gr","mgpt_lc","non-linear"
"876",7.1,-4.70100207477726,-0.875049913650873,-2.57633160024854,-0.421396275630759,"gr","mgpt_lc","non-linear"
"877",7.2,-4.6193582442423,-0.823269729988377,-2.51588998250182,-0.421396275630759,"gr","mgpt_lc","non-linear"
"878",7.3,-4.53821077243024,-0.777469617040621,-2.45679342819696,-0.421396275630759,"gr","mgpt_lc","non-linear"
"879",7.4,-4.45752863807034,-0.737207039384755,-2.39894663467624,-0.421396275630759,"gr","mgpt_lc","non-linear"
"880",7.5,-4.37728081989188,-0.70203946159793,-2.34225429928193,-0.421396275630759,"gr","mgpt_lc","non-linear"
"881",7.6,-4.29743629662412,-0.671524348257301,-2.2866211193563,-0.421396275630759,"gr","mgpt_lc","non-linear"
"882",7.7,-4.21796404699634,-0.645219163940016,-2.23195179224162,-0.421396275630759,"gr","mgpt_lc","non-linear"
"883",7.8,-4.13883304973781,-0.612339738477895,-2.17815101528018,-0.421396275630759,"gr","mgpt_lc","non-linear"
"884",7.9,-4.0600122835778,-0.569438648337336,-2.12512348581423,-0.421396275630759,"gr","mgpt_lc","non-linear"
"885",8,-3.98341366826607,-0.52726362887905,-2.07277390118605,-0.421396275630759,"gr","mgpt_lc","non-linear"
"886",8.1,-3.92627053092134,-0.485765579798839,-2.02100695873791,-0.421396275630759,"gr","mgpt_lc","non-linear"
"887",8.2,-3.8694549047046,-0.444895400792508,-1.9697273558121,-0.421396275630759,"gr","mgpt_lc","non-linear"
"888",8.3,-3.81281088895973,-0.404603991555862,-1.91883978975087,-0.421396275630759,"gr","mgpt_lc","non-linear"
"889",8.4,-3.75618258303059,-0.364842251784704,-1.8682489578965,-0.421396275630759,"gr","mgpt_lc","non-linear"
"890",8.5,-3.69941408626107,-0.325561081174839,-1.81785955759127,-0.421396275630759,"gr","mgpt_lc","non-linear"
"891",8.6,-3.64235883239013,-0.286714220738605,-1.76758193842041,-0.421396275630759,"gr","mgpt_lc","non-linear"
"892",8.7,-3.58496356643112,-0.248283814707183,-1.71738295261222,-0.421396275630759,"gr","mgpt_lc","non-linear"
"893",8.8,-3.52722872331626,-0.201714285676702,-1.66726196317507,-0.421396275630759,"gr","mgpt_lc","non-linear"
"894",8.9,-3.46915538103766,-0.148602438586765,-1.61721872250847,-0.421396275630759,"gr","mgpt_lc","non-linear"
"895",9,-3.41074461758739,-0.0960681851900479,-1.56725298301193,-0.421396275630759,"gr","mgpt_lc","non-linear"
"896",9.1,-3.35199751095756,-0.0441096801920514,-1.51736449708496,-0.421396275630759,"gr","mgpt_lc","non-linear"
"897",9.2,-3.29291513914024,0.00727492170172522,-1.46755301712707,-0.421396275630759,"gr","mgpt_lc","non-linear"
"898",9.3,-3.23349858012753,0.0580874657857856,-1.41781829553775,-0.421396275630759,"gr","mgpt_lc","non-linear"
"899",9.4,-3.17374891191152,0.108329797354633,-1.36816008471653,-0.421396275630759,"gr","mgpt_lc","non-linear"
"900",9.5,-3.11366721248431,0.158003761702769,-1.3185781370629,-0.421396275630759,"gr","mgpt_lc","non-linear"
"901",9.6,-3.05325455983798,0.207111204124698,-1.26907220497637,-0.421396275630759,"gr","mgpt_lc","non-linear"
"902",9.7,-2.99251203196462,0.255653969914918,-1.21964204085646,-0.421396275630759,"gr","mgpt_lc","non-linear"
"903",9.8,-2.93144070685633,0.303633904367931,-1.17028739710266,-0.421396275630759,"gr","mgpt_lc","non-linear"
"904",9.9,-2.8700416625052,0.351052852778241,-1.12100802611449,-0.421396275630759,"gr","mgpt_lc","non-linear"
