"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"583",18,33.9608386155001,42.9365567210177,37.4344174784744,20.9327633410418,"fi","short","non-linear"
"584",18.1,34.1477694776305,43.1782781944372,37.6781039427089,20.9327633410418,"fi","short","non-linear"
"585",18.2,34.3347878015471,43.4242755627539,37.9197890974499,20.9327633410418,"fi","short","non-linear"
"586",18.3,34.5218931311387,43.6682705552809,38.1594833794808,20.9327633410418,"fi","short","non-linear"
"587",18.4,34.7090850102942,43.9061060811352,38.3971972255851,20.9327633410418,"fi","short","non-linear"
"588",18.5,34.8963629829023,44.1378146003522,38.6329410725462,20.9327633410418,"fi","short","non-linear"
"589",18.6,35.0837265928517,44.3634285729671,38.8667253571476,20.9327633410418,"fi","short","non-linear"
"590",18.7,35.2711753840313,44.5829804590151,39.0985605161729,20.9327633410418,"fi","short","non-linear"
"591",18.8,35.4587089003298,44.7965027185314,39.3284569864054,20.9327633410418,"fi","short","non-linear"
"592",18.9,35.646326685636,45.0040278115513,39.5564252046287,20.9327633410418,"fi","short","non-linear"
"593",19,35.8340282838386,45.20558819811,39.7824756076262,20.9327633410418,"fi","short","non-linear"
"594",19.1,36.0218132388265,45.4012163382428,40.0066186321813,20.9327633410418,"fi","short","non-linear"
"595",19.2,36.2096810944884,45.5909446919849,40.2288647150776,20.9327633410418,"fi","short","non-linear"
"596",19.3,36.3976313947131,45.7748057193715,40.4492242930985,20.9327633410418,"fi","short","non-linear"
"597",19.4,36.5856636833894,45.9528318804378,40.6677078030276,20.9327633410418,"fi","short","non-linear"
"598",19.5,36.773777504406,46.1250556352191,40.8843256816481,20.9327633410418,"fi","short","non-linear"
"599",19.6,36.9619724016517,46.2915094437507,41.0990883657438,20.9327633410418,"fi","short","non-linear"
"600",19.7,37.1502479190154,46.4522257660677,41.3120062920979,20.9327633410418,"fi","short","non-linear"
"601",19.8,37.3386036003857,46.6072370622054,41.523089897494,20.9327633410418,"fi","short","non-linear"
"602",19.9,37.5270389896514,46.756575792199,41.7323496187156,20.9327633410418,"fi","short","non-linear"
"603",20,37.7155536307013,46.9002744160838,41.9397958925461,20.9327633410418,"fi","short","non-linear"
"604",0,-3.54337152456062,2.61099884572421,0,16.2906511356002,"ge","short","non-linear"
"605",0.1,-3.20615008779765,2.6514450964647,0.090574868859008,16.2906511356002,"ge","short","non-linear"
"606",0.2,-2.86894206449649,2.69254322284266,0.181750893589566,16.2906511356002,"ge","short","non-linear"
"607",0.3,-2.53176086811896,2.73494510049557,0.274129230063227,16.2906511356002,"ge","short","non-linear"
"608",0.4,-2.19461991212689,2.77930260506088,0.368311034151533,16.2906511356002,"ge","short","non-linear"
"609",0.5,-1.85753260998207,2.82626761217607,0.464897461726055,16.2906511356002,"ge","short","non-linear"
"610",0.6,-1.52051237514634,2.87649199747863,0.564489668658332,16.2906511356002,"ge","short","non-linear"
"611",0.7,-1.18357262108149,2.93062763660601,0.66768881081992,16.2906511356002,"ge","short","non-linear"
"612",0.8,-0.846726761249364,2.98932640519568,0.775096044082364,16.2906511356002,"ge","short","non-linear"
"613",0.9,-0.562032678987915,3.05324017888512,0.887312524317217,16.2906511356002,"ge","short","non-linear"
"614",1,-0.672139734788512,3.1230208333118,1.00493940739604,16.2906511356002,"ge","short","non-linear"
"615",1.1,-0.763251926615492,3.19932024411319,1.12857784919037,16.2906511356002,"ge","short","non-linear"
"616",1.2,-0.833469768071481,3.28279028692676,1.25882900557177,16.2906511356002,"ge","short","non-linear"
"617",1.3,-0.88089377275913,3.37408283738997,1.39629403241178,16.2906511356002,"ge","short","non-linear"
"618",1.4,-0.903624454281069,3.47384977114031,1.54157408558197,16.2906511356002,"ge","short","non-linear"
"619",1.5,-0.89976232623993,3.58274296381524,1.69527032095387,16.2906511356002,"ge","short","non-linear"
"620",1.6,-0.890592995432094,3.70141429105223,1.85798389439905,16.2906511356002,"ge","short","non-linear"
"621",1.7,-0.853660728523636,3.83051562848876,2.03031596178904,16.2906511356002,"ge","short","non-linear"
"622",1.8,-0.783513673820593,3.97069885176229,2.21286767899542,16.2906511356002,"ge","short","non-linear"
"623",1.9,-0.678198020276216,4.12261583651029,2.40624020188971,16.2906511356002,"ge","short","non-linear"
"624",2,-0.535759956843773,4.28691845837024,2.61103468634349,16.2906511356002,"ge","short","non-linear"
"625",2.1,-0.35424567247652,4.46425859297961,2.82785228822829,16.2906511356002,"ge","short","non-linear"
"626",2.2,-0.131701356127714,4.65555194689731,3.05729416341567,16.2906511356002,"ge","short","non-linear"
"627",2.3,0.133223518590981,4.88628560189429,3.29980867576011,16.2906511356002,"ge","short","non-linear"
"628",2.4,0.438845442422378,5.12998155495266,3.55507576840508,16.2906511356002,"ge","short","non-linear"
