"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"58",5.7,10.1402681582166,17.5972076217881,14.6759378146372,-5.90142827151849,"du","long","linear"
"59",5.8,10.3652358590068,17.8711828955273,14.9334104078765,-5.90142827151849,"du","long","linear"
"60",5.9,10.590203559797,18.1451581692664,15.1908830011157,-5.90142827151849,"du","long","linear"
"61",6,10.8151712605872,18.4191334430055,15.448355594355,-5.90142827151849,"du","long","linear"
"62",6.1,11.0401389613774,18.6931087167447,15.7058281875942,-5.90142827151849,"du","long","linear"
"63",6.2,11.2651066621676,18.9670839904838,15.9633007808335,-5.90142827151849,"du","long","linear"
"64",6.3,11.4900743629578,19.2410592642229,16.2207733740727,-5.90142827151849,"du","long","linear"
"65",6.4,11.715042063748,19.5150345379621,16.478245967312,-5.90142827151849,"du","long","linear"
"66",6.5,11.9400097645382,19.7890098117012,16.7357185605512,-5.90142827151849,"du","long","linear"
"67",6.6,12.1649774653284,20.0629850854403,16.9931911537905,-5.90142827151849,"du","long","linear"
"68",6.7,12.3899451661186,20.3369603591795,17.2506637470297,-5.90142827151849,"du","long","linear"
"69",6.8,12.6149128669088,20.6109356329186,17.508136340269,-5.90142827151849,"du","long","linear"
"70",6.9,12.839880567699,20.8849109066577,17.7656089335082,-5.90142827151849,"du","long","linear"
"71",7,13.0648482684892,21.1588861803969,18.0230815267475,-5.90142827151849,"du","long","linear"
"72",7.1,13.2898159692794,21.432861454136,18.2805541199867,-5.90142827151849,"du","long","linear"
"73",7.2,13.5147836700696,21.7068367278751,18.538026713226,-5.90142827151849,"du","long","linear"
"74",7.3,13.7397513708598,21.9808120016143,18.7954993064652,-5.90142827151849,"du","long","linear"
"75",7.4,13.96471907165,22.2547872753534,19.0529718997045,-5.90142827151849,"du","long","linear"
"76",7.5,14.1896867724402,22.5287625490925,19.3104444929437,-5.90142827151849,"du","long","linear"
"77",7.6,14.4146544732304,22.8027378228317,19.567917086183,-5.90142827151849,"du","long","linear"
"78",7.7,14.6396221740206,23.0767130965708,19.8253896794222,-5.90142827151849,"du","long","linear"
"79",7.8,14.8645898748108,23.3506883703099,20.0828622726615,-5.90142827151849,"du","long","linear"
"80",7.9,15.089557575601,23.6246636440491,20.3403348659007,-5.90142827151849,"du","long","linear"
"81",8,15.3145252763912,23.8986389177882,20.59780745914,-5.90142827151849,"du","long","linear"
"82",8.1,15.5394929771814,24.1726141915273,20.8552800523792,-5.90142827151849,"du","long","linear"
"83",8.2,15.7644606779716,24.4465894652664,21.1127526456184,-5.90142827151849,"du","long","linear"
"84",8.3,15.9894283787618,24.7205647390056,21.3702252388577,-5.90142827151849,"du","long","linear"
"85",8.4,16.214396079552,24.9945400127447,21.6276978320969,-5.90142827151849,"du","long","linear"
"86",8.5,16.4393637803422,25.2685152864838,21.8851704253362,-5.90142827151849,"du","long","linear"
"87",8.6,16.6643314811324,25.542490560223,22.1426430185754,-5.90142827151849,"du","long","linear"
"88",8.7,16.8892991819226,25.8164658339621,22.4001156118147,-5.90142827151849,"du","long","linear"
"89",8.8,17.1142668827128,26.0904411077012,22.6575882050539,-5.90142827151849,"du","long","linear"
"90",8.9,17.339234583503,26.3644163814404,22.9150607982932,-5.90142827151849,"du","long","linear"
"91",9,17.5642022842932,26.6383916551795,23.1725333915324,-5.90142827151849,"du","long","linear"
"92",9.1,17.7891699850833,26.9123669289186,23.4300059847717,-5.90142827151849,"du","long","linear"
"93",9.2,18.0141376858735,27.1863422026578,23.6874785780109,-5.90142827151849,"du","long","linear"
"94",9.3,18.2391053866637,27.4603174763969,23.9449511712502,-5.90142827151849,"du","long","linear"
"95",9.4,18.4640730874539,27.734292750136,24.2024237644894,-5.90142827151849,"du","long","linear"
"96",9.5,18.6890407882441,28.0082680238752,24.4598963577287,-5.90142827151849,"du","long","linear"
"97",9.6,18.9140084890343,28.2822432976143,24.7173689509679,-5.90142827151849,"du","long","linear"
"98",9.7,19.1389761898245,28.5562185713534,24.9748415442072,-5.90142827151849,"du","long","linear"
"99",9.8,19.3639438906147,28.8301938450926,25.2323141374464,-5.90142827151849,"du","long","linear"
"100",9.9,19.5889115914049,29.1041691188317,25.4897867306857,-5.90142827151849,"du","long","linear"
"101",10,19.8138792921951,29.3781443925708,25.7472593239249,-5.90142827151849,"du","long","linear"
"102",10.1,20.0388469929853,29.65211966631,26.0047319171642,-5.90142827151849,"du","long","linear"
"103",10.2,20.2638146937755,29.9260949400491,26.2622045104034,-5.90142827151849,"du","long","linear"
"104",10.3,20.4887823945657,30.2000702137882,26.5196771036427,-5.90142827151849,"du","long","linear"
"105",10.4,20.7137500953559,30.4740454875273,26.7771496968819,-5.90142827151849,"du","long","linear"
"106",10.5,20.9387177961461,30.7480207612665,27.0346222901212,-5.90142827151849,"du","long","linear"
"107",10.6,21.1636854969363,31.0219960350056,27.2920948833604,-5.90142827151849,"du","long","linear"
"108",10.7,21.3886531977265,31.2959713087447,27.5495674765997,-5.90142827151849,"du","long","linear"
"109",10.8,21.6136208985167,31.5705708778469,27.8070400698389,-5.90142827151849,"du","long","linear"
"110",10.9,21.8385885993069,31.8466253849645,28.0645126630782,-5.90142827151849,"du","long","linear"
"111",11,22.0635563000971,32.1226798920822,28.3219852563174,-5.90142827151849,"du","long","linear"
"112",11.1,22.2885240008873,32.3987343991998,28.5794578495567,-5.90142827151849,"du","long","linear"
"113",11.2,22.5134917016775,32.6747889063175,28.8369304427959,-5.90142827151849,"du","long","linear"
"114",11.3,22.7384594024677,32.9508434134351,29.0944030360352,-5.90142827151849,"du","long","linear"
"115",11.4,22.9634271032579,33.2268979205528,29.3518756292744,-5.90142827151849,"du","long","linear"
"116",11.5,23.1883948040481,33.5029524276704,29.6093482225137,-5.90142827151849,"du","long","linear"
"117",11.6,23.4133625048383,33.7790069347881,29.8668208157529,-5.90142827151849,"du","long","linear"
"118",11.7,23.6383302056285,34.0550614419057,30.1242934089922,-5.90142827151849,"du","long","linear"
"119",11.8,23.8632979064187,34.3311159490234,30.3817660022314,-5.90142827151849,"du","long","linear"
"120",11.9,24.0882656072089,34.607170456141,30.6392385954707,-5.90142827151849,"du","long","linear"
"121",12,24.3132333079991,34.8832249632587,30.8967111887099,-5.90142827151849,"du","long","linear"
"122",12.1,24.5382010087893,35.1592794703764,31.1541837819492,-5.90142827151849,"du","long","linear"
"123",12.2,24.7631687095795,35.435333977494,31.4116563751884,-5.90142827151849,"du","long","linear"
"124",12.3,24.9881364103697,35.7113884846117,31.6691289684277,-5.90142827151849,"du","long","linear"
"125",12.4,25.2131041111599,35.9874429917293,31.9266015616669,-5.90142827151849,"du","long","linear"
"126",12.5,25.4380718119501,36.263497498847,32.1840741549062,-5.90142827151849,"du","long","linear"
"127",12.6,25.6630395127403,36.5395520059646,32.4415467481454,-5.90142827151849,"du","long","linear"
"128",12.7,25.8880072135305,36.8156065130823,32.6990193413847,-5.90142827151849,"du","long","linear"
"129",12.8,26.1129749143207,37.0916610201999,32.9564919346239,-5.90142827151849,"du","long","linear"
"130",12.9,26.3379426151109,37.3677155273176,33.2139645278632,-5.90142827151849,"du","long","linear"
"131",13,26.5629103159011,37.6437700344352,33.4714371211024,-5.90142827151849,"du","long","linear"
"132",13.1,26.7878780166913,37.9198245415529,33.7289097143417,-5.90142827151849,"du","long","linear"
"133",13.2,27.0128457174815,38.1958790486705,33.9863823075809,-5.90142827151849,"du","long","linear"
"134",13.3,27.2378134182717,38.4719335557882,34.2438549008202,-5.90142827151849,"du","long","linear"
"135",13.4,27.4627811190619,38.7479880629058,34.5013274940594,-5.90142827151849,"du","long","linear"
