"","itemid","ianum","ia_text","surp","prev_surp","prev2_surp","len","prev_len","prev2_len","freq","prev_freq","prev2_freq","ent","prev_ent","prev2_ent","psychometric","context"
"863",5,148,"op",3.58604312836362,2.27374327158655,14.7980070313025,2,5,9,7.12057393120585,6.38916608436453,4.64048143697042,4.45233869552612,5.33667182922363,5.34638497978449,121,"long"
"864",5,152,"een",5.09414616721141,8.17106087794057,15.182219024723,3,3,5,7.40993312333129,6.65030752313194,4.95999483832842,4.6142201423645,7.09079170227051,5.31869506835938,150.703703703704,"long"
"865",5,153,"nieuw",6.9836288242908,5.09414616721141,8.17106087794057,5,3,3,5.51054501020661,7.40993312333129,6.65030752313194,8.67370319366455,4.6142201423645,7.09079170227051,194.703703703704,"long"
"866",5,154,"land",4.00802566656728,6.9836288242908,5.09414616721141,4,5,3,5.69019608002851,5.51054501020661,7.40993312333129,6.79100513458252,8.67370319366455,4.6142201423645,173.555555555556,"long"
"867",5,155,"bijgestort.",22.9106395568455,4.00802566656728,6.9836288242908,11,4,5,1.02938377768521,5.69019608002851,5.51054501020661,11.8097574114799,6.79100513458252,8.67370319366455,349.333333333333,"long"
"868",5,156,"Op",4.52315653705507,22.9106395568455,4.00802566656728,2,11,4,7.12057393120585,1.02938377768521,5.69019608002851,5.54301404953003,11.8097574114799,6.79100513458252,222.888888888889,"long"
"869",5,160,"is",3.68926713557197,9.19794094316071,6.00765691477398,2,4,2,7.19865708695442,4.3747483460101,7.35983548233989,5.1029257774353,7.5131311416626,6.12727928161621,163.222222222222,"long"
"870",5,161,"op",7.04664542958903,3.68926713557197,9.19794094316071,2,2,4,7.12057393120585,7.19865708695442,4.3747483460101,5.7047438621521,5.1029257774353,7.5131311416626,111.62962962963,"long"
"871",5,162,"initiatief",6.84543561097412,7.04664542958903,3.68926713557197,10,2,2,4.71011736511182,7.12057393120585,7.19865708695442,6.3564470987767,5.7047438621521,5.1029257774353,255.740740740741,"long"
"872",5,163,"van",0.00712785791387469,6.84543561097412,7.04664542958903,3,10,2,7.51054501020661,4.71011736511182,7.12057393120585,0.0788783431053162,6.3564470987767,5.7047438621521,60.962962962963,"long"
"873",5,164,"de",0.989772755567817,0.00712785791387469,6.84543561097412,2,3,10,7.72997428569956,7.51054501020661,4.71011736511182,4.98496437072754,0.0788783431053162,6.3564470987767,110.962962962963,"long"
"874",5,165,"Keniaanse",15.1758654262731,0.989772755567817,0.00712785791387469,9,2,3,3.43933269383026,7.72997428569956,7.51054501020661,5.66060960292816,4.98496437072754,0.0788783431053162,240.814814814815,"long"
"875",5,166,"organisatoren",14.6869324587744,15.1758654262731,0.989772755567817,13,9,2,3.60959440922522,3.43933269383026,7.72997428569956,6.69205319881439,5.66060960292816,4.98496437072754,327.111111111111,"long"
"876",5,167,"een",2.06512208002354,14.6869324587744,15.1758654262731,3,13,9,7.40993312333129,3.60959440922522,3.43933269383026,5.34948015213013,6.69205319881439,5.66060960292816,15.4444444444444,"long"
"877",5,171,"woestijnvorming",25.199837720067,4.49305035575517,6.30652076824595,15,3,7,1.55022835305509,6.8998205024271,4.30102999566398,21.554577589035,3.41242432594299,4.62974582519382,372.037037037037,"long"
"878",5,172,"moet",6.89020632137549,25.199837720067,4.49305035575517,4,15,3,6.25042000230889,1.55022835305509,6.8998205024271,5.55309724807739,21.554577589035,3.41242432594299,179.111111111111,"long"
"879",5,173,"tegengaan.",3.73670485917942,6.89020632137549,25.199837720067,10,4,15,3.35983548233989,6.25042000230889,1.55022835305509,5.95801157224923,5.55309724807739,21.554577589035,315,"long"
"880",6,3,"of",6.07337091840426,21.7603955508206,0,2,7,3,6.54032947479087,1.94987770403687,7.40993312333129,9.16793060302734,16.2742490768433,0,104.714285714286,"long"
"881",6,7,"halve",12.4273106431282,0.369918663788598,2.37820354063292,5,3,2,4.81023251799508,7.40993312333129,7.19865708695442,7.87347078323364,2.41898083686829,6.91756105422974,253.607142857143,"long"
"882",6,8,"bril,",13.943109049964,12.4273106431282,0.369918663788598,5,5,3,4.28103336724773,4.81023251799508,7.40993312333129,12.5646605491638,7.87347078323364,2.41898083686829,118.714285714286,"long"
"883",6,9,"dat",5.40720583771156,13.943109049964,12.4273106431282,3,5,5,7.10037054511756,4.28103336724773,4.81023251799508,5.76987838745117,12.5646605491638,7.87347078323364,71.75,"long"
"884",6,10,"wil",8.83234144544516,5.40720583771156,13.943109049964,3,3,5,6.17897694729317,7.10037054511756,4.28103336724773,6.86774492263794,5.76987838745117,12.5646605491638,190.285714285714,"long"
"885",6,11,"zeggen,",4.15495603299783,8.83234144544516,5.40720583771156,7,3,3,5.71011736511182,6.17897694729317,7.10037054511756,3.11417410522699,6.86774492263794,5.76987838745117,162.857142857143,"long"
"886",6,12,"een",1.64153176147736,4.15495603299783,8.83234144544516,3,7,3,7.40993312333129,5.71011736511182,6.17897694729317,3.46127033233643,3.11417410522699,6.86774492263794,36.5714285714286,"long"
"887",6,13,"bril",3.39842554510216,1.64153176147736,4.15495603299783,4,3,7,4.28103336724773,7.40993312333129,5.71011736511182,8.27699345350266,3.46127033233643,3.11417410522699,198.464285714286,"long"
"888",6,14,"bestaande",10.2997103643722,3.39842554510216,1.64153176147736,9,4,3,4.85973856619715,4.28103336724773,7.40993312333129,3.39736890792847,8.27699345350266,3.46127033233643,256.357142857143,"long"
"889",6,15,"uit",0.0114916075701254,10.2997103643722,3.39842554510216,3,9,4,6.65030752313194,4.85973856619715,4.28103336724773,0.111019387841225,3.39736890792847,8.27699345350266,50.2142857142857,"long"
